"GDP per capita, current prices
Eswatini,1353.87,1390.764,1208.985,1207.844,999.523,762.131,936.249,1172.28,1332.878,1306.668,1552.212,1567.762,1699.814,1750.159,1859.518,2171.72,2012.452,2105.168,1914.241,1861.496,1818.67,1599.207,1473.717,2235.678,2797.022,3174.588,3262.223,3402.163,3214.488,3479.71,4263.91,4603.196,4628.251,4326.001,4133.025,3765.916,3513.797,4031.059,4225.912,4009.994,3532.545,3965.426,4164.289,4284.709,4435.936,4596.437,4965.447
Ethiopia,215.178,215.599,220.557,237.661,217.423,246.507,247.981,256.699,257.56,262.233,269.082,287.651,293.35,176.465,151.965,152.658,155.121,152.171,134.226,128.213,129.678,125.722,116.789,120.873,138.553,165.218,198.344,249.209,334.145,397.808,360.829,379.381,493.321,535.264,613.101,702.767,790.82,829.313,852.011,968.253,994.197,939.511,no data,no data,no data,no data,no data
Fiji,2056.073,2062.163,1941.771,1781.084,1828.856,1744.388,1954.085,1776.896,1672.492,1747.117,1959.194,2012.454,2208.958,2339.817,2590.933,2775.116,2975.914,2905.473,2282.246,2656.26,2286.992,2238.548,2467.527,3079.607,3601.622,3943.27,4041.487,4405.164,4535.432,3673.958,4004.674,4797.051,5017.72,5268.164,5611.185,5385.516,5620.575,6049.889,6272.733,6142.933,4995.163,5127.44,5507.13,6053.588,6548.089,6954.05,7305.719
Finland,11257.795,10990.447,11036.936,10545.058,10889.934,11488.754,14998.341,18632.076,22122.56,24040.639,28489.569,25646.579,22496.237,17661.586,20429.387,26347.514,25833.03,24759.979,26074.066,26241.797,24379.783,25001.18,27008.262,32961.92,37816.081,39147.216,41308.623,48590.198,53897.91,47541.746,46647.002,51263.574,47850.555,50006.019,50434.791,42867.09,43865.756,46437.211,50033.305,48716.216,48786.033,53522.565,56832.595,59545.358,62432.403,65676.149,68389.28
France,13052.055,11393.065,10764.181,10245.002,9667.515,10028.463,13922.959,16776.515,18204.104,18218.703,22432.059,22329.525,24538.409,23059.189,24215.692,27721.67,27716.205,24999.792,25783.476,25517.131,23149.274,23229.175,25058.792,30628.86,34980.08,36000.917,37762.463,42998.453,46927.305,43079.371,42100.289,45378.299,42348.741,44130.832,44545.718,37918.771,38332.675,40053.616,43021.379,41989.673,40298.851,45028.265,47952.125,49974.949,51873.763,53661.155,55393.831
Gabon,6093.615,5376.616,4930.527,4619.015,4346.388,4478.468,5735.355,4245.955,4581.144,4899.234,6815.634,5993.32,6015.511,5677.618,4293.942,4956.842,5552.917,5068.093,4161.617,4222.734,4477.321,4065.933,4210.284,5015.596,5837.617,6942.698,7271.093,8652.145,10418.276,7856.853,8933.306,10893.464,9903.41,9760.747,9746.786,7453.114,7082.218,7370.349,8220.504,8111.34,7277.369,8569.216,9083.633,9276.921,9532.125,9899.511,10396.009
"Gambia, The",1007.791,907.551,827.984,800.7,552.842,645.904,484.263,623.605,695.347,701.786,790.827,801.579,830.589,840.415,804.334,815.289,826.192,818.814,815.332,811.257,766.199,737.063,631.566,581.319,642.755,665.721,662.362,780.379,924.514,833.282,860.639,762.761,742.78,700.515,607.429,649.511,683.998,676.656,729.035,768.921,769.661,819.22,846.506,893.571,942.071,995.044,1045.855
Georgia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,172.502,413.487,688.642,818.402,864.471,687.028,763.51,819.495,874.692,1034.708,1338.264,1682.657,2048.023,2700.586,3418.858,2890.875,3222.065,4003.471,4409.605,4622.966,4742.498,4017.622,4060.893,4358.594,4718.794,4693.66,4275.293,4807.95,5297.521,5804.011,6347.647,6945.397,7530.721
Germany,11109.741,9329.591,9014.978,9025.206,8537.765,8678.853,12387.01,15411.529,16514.654,16232.121,20249.138,23453.063,26538.043,25602.961,27233.633,31829.61,30664.393,27170.747,27528.158,26984.243,23924.876,23869.773,25460.334,30668.849,34534.814,35020.197,36894.468,42299.862,46367.859,42338.844,42379.71,46697.376,43883.393,46299.371,48035.802,41107.222,42124.452,44636.698,47995.381,46800.183,46215.596,50787.859,54653.004,57208.886,59728.202,62235.56,64800.87
Ghana,3489.408,5537.341,6271.389,4114.168,1391.696,1213.37,1094.377,895.168,930.218,924.054,1045.579,1142.78,1102.828,881.064,793.783,918.725,950,945.574,1002.591,1012.265,606.494,630.69,714.412,860.458,973.275,1151.293,1320.27,1520.628,1688.059,1477.632,1757.029,2131.731,2197.891,2405.776,2003.714,1784.251,1982.243,2086.598,2275.769,2265.713,2225.506,2413.095,2556.508,2666.591,2787.107,2919.418,3053.529
Greece,5898.163,5376.978,5576.511,5008.015,4854.243,4791.75,5623.163,6522.421,7568.289,7812.784,9597.714,10196.17,11139.445,10363.63,11029.098,12887.889,13660.507,13370.349,13412.55,13784.361,12164.719,12473.285,14065.791,18378.281,21829.501,22417.643,24648.873,28656.233,31902.014,29577.642,26743.4,25437.01,21845.973,21679.669,21567.966,17997.401,17879.707,18578.294,19769.332,19147.461,17657.1,19827.162,21155.314,22314.034,23393.105,24491.857,25534.643
Grenada,1245.62,1276.37,1346.874,1372.669,1477.916,1678.085,1872.462,2162.546,2408.732,2757.871,2887.011,3117.904,3192.22,3153.808,3272.547,3411.983,3632.676,3861.381,4370.62,4705.807,5056.978,5041.015,5213.797,5682.707,5741.653,6644.217,6658.218,7213.002,7832.366,7290.821,7258.182,7291.739,7444.082,7789.618,8370.031,9096.535,9628.26,10152.834,10466.805,10608.38,9130.372,9575.343,10194.006,10878.133,11568.878,12117.261,12658.323
Guatemala,1070.284,1140.215,1126.186,1139.957,1163.059,1338.718,705.755,796.957,841.769,946.757,808.879,966.003,1045.432,1110,1228.967,1348.884,1408.233,1559.644,1656.359,1527.239,1555.638,1654.953,1795.772,1847.291,1951.798,2151.742,2336.955,2556.76,2873.086,2654.1,2836.06,3172.124,3267.792,3397.625,3632.101,3825.882,3982.02,4233.007,4240.545,4371.265,4317.448,4542.253,4767.436,4927.427,5162.973,5416.337,5687.761
Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,616.321,660.444,678.626,639.332,626.432,655.749,656.708,628.192,591.511,557.831,461.784,427.879,444.663,517.03,538.88,470.57,426.419,628.711,675.387,637.478,630.549,540.562,637.79,712.977,728.729,712.049,679.964,796.038,891.887,991.735,1101.713,1168.178,1241.834,1299.514,1362.593,1425.848,1495.304
Guinea-Bissau,370.185,463.692,516.549,570.682,388.702,559.368,534.912,444.504,406.033,478.384,571.817,787.213,843.597,636.881,344.118,725.815,676.103,628.438,517.661,496.411,327.943,338.362,374.5,435.072,447.804,482.181,467.998,543.408,672.251,613.569,644.344,775.206,688.497,711.927,712.826,707.897,748.089,864.141,866.451,810.558,789.856,858.04,907.339,972.935,1040.899,1112.56,1186.06
Guyana,1101.855,1055.839,904.864,921.541,861.055,924.305,1053.703,982.258,1125.871,1146.242,950.968,1036.884,1145.783,1392.984,1626.898,1832.399,2048.527,2161.647,2035.856,2010.769,2017.2,2023.617,2092.961,2144.109,2232.996,2305.907,2551.768,2982.217,3329.637,3457.367,3837.303,4402.775,5360.276,5476.744,5402.703,5579.974,5796.819,6104.158,6120.536,6594.375,6952.702,9369.011,12426.394,15152.583,15767.572,16563.39,17509.343
Haiti,447.907,484.33,494.856,521.763,567.915,619.461,676.077,327.179,212.61,192.614,240.23,211.528,124.533,147.025,397.214,618.383,626.299,706.797,773.837,847.945,794.059,720.822,684.333,540.556,660.218,773.35,794.79,991.684,1074.359,1168.747,1175.199,1269.346,1316.496,1408.807,1408.669,1359.209,1263.434,1337.16,1441.864,1277.213,1235.476,1691.825,1560.232,1619.038,1650.354,1696.397,1745.552
Honduras,955.25,1017.067,1015.875,1044.202,1092.454,1161.918,1180.458,1249.586,1351.372,1467.031,841.249,822.855,891.443,888.614,845.738,948.437,888.005,948.716,1023.397,1003.065,1093.106,1133.185,1134.068,1158.179,1217.816,1308.089,1430.056,1583.048,1739.357,1789.707,1904.346,2088.311,2144.337,2102.595,2206.056,2302.204,2342.024,2451.936,2506.62,2567.967,2396.689,2602.17,2712.44,2821.802,2935.211,3057.544,3191.61
Hong Kong SAR,5703.963,5995.182,6139.013,5590.161,6170.503,6490.372,7380.118,9015.195,10527.458,12012.634,13374.312,15297.577,17710.506,20065.68,22194.005,23070.541,24698.956,27214.595,25649.085,24969.005,25574.491,25166.902,24731.081,23856.482,24873.898,26551.769,28028.157,30494.551,31487.94,30593.991,32421.361,34955.147,36623.745,38233.352,40185.303,42325.352,43491.305,46032.29,48313.144,48268.216,46657.196,49485.084,51895.028,54237.696,56619.571,59126.852,61800.654
Hungary,2151.468,2207.127,2249.984,2046.399,1989.903,2022.961,2338.799,2582.847,2838.561,2909.702,3312.337,3350.242,3733.447,3871.071,4170.571,4491.215,4520.76,4591.492,4738.015,4786.245,4619.293,5269.607,6644.61,8410.769,10275.774,11188.448,11469.411,13904.826,15742.787,13035.623,13173.209,14195.846,12935.511,13665.526,14251.799,12690.167,13069.23,14590.897,16407.353,16729.132,15866.216,18527.592,20380.161,22174.259,23863.29,25422.594,26975.87
Iceland,15133.103,15454.708,14008.881,11865.27,12139.43,12517.151,16585.858,22795.638,24840.125,22646.588,25651.419,27183.019,27383.229,23749.384,24142.695,26711.55,27914.45,28048.848,31219.801,32577.642,32344.364,29061.339,32516.441,39620.411,47579.937,57405.559,58238.886,70375.326,57296.251,41188.906,43293.021,47798.807,46159.8,50100.084,54864.159,53227.627,62530.419,73085.132,75382.6,69631.272,59643.087,68843.646,72317.581,73881.654,76323.207,80325.238,84467.255
India,271.031,274.726,277.965,296.291,281.099,302.945,315.161,346.171,357.799,352.182,374.002,308.37,322.512,306.44,352.172,380.321,406.968,422.809,420.573,449.725,451.114,459.473,479.063,556.326,638.787,726.918,814.353,1046.898,1019.511,1121.248,1384.174,1458.105,1443.879,1449.605,1573.881,1605.605,1732.051,1980.694,1996.952,2098.933,1929.677,2116.444,2312.901,2478.616,2649.211,2829.645,3018.1
Indonesia,673.239,736.992,741.946,659.474,672.201,658.217,610.234,562.902,621.934,696.874,770.757,847.573,907.767,1013.057,1115.613,1254.023,1394.497,1308.114,572.09,829.574,870.154,834.139,1002.907,1186.845,1280.696,1403.876,1764.79,2064.232,2418.043,2464.956,3178.133,3688.531,3744.53,3684,3533.606,3367.691,3605.721,3885.465,3947.248,4196.297,3921.622,4224.982,4538.152,4888.899,5205.482,5529.556,5870.631
Iran,2741.016,2740.504,3020.642,3709.146,3774.631,3788.878,4257.537,5602.03,5931.254,6955.853,10797.113,5357.884,884.443,1137.104,1413.21,1990.358,2694.673,3042.982,3312.421,4332.749,5648.124,4842.262,1947.965,2256.512,2744.105,3239.138,3765.88,4905.238,5612.145,5656.192,6564.058,7719.433,5159.196,5199.853,5519.135,4844.495,5195.909,5471.788,5543.901,6980.744,9928.187,12725.042,13243.342,13716.84,14218.136,14739.103,15274.044
Iraq,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,608.655,1373.738,1828.738,2321.258,3090.851,4472.118,3701.862,4473.71,5848.537,6692.576,7021.406,6704.313,5044.624,4637.004,5178.921,5950.825,5981.102,4223.218,4892.964,5364.248,5536.841,5655.364,5787.448,5935.146
Ireland,6252.207,5886.368,6078.144,5839.832,5591.81,5934.548,7993.15,9419.506,10365.284,10754.616,13644.791,13748.196,15331.894,14262.798,15455.354,19086.797,20781.392,22468.61,24202.501,26233.643,26186.264,28120.1,32482.077,40940.136,47389.262,50476.482,53738.836,60770.052,60989.977,51943.467,48612.201,52116.927,49000.81,51459.003,55499.027,61861.203,62632.808,69486.551,78837.737,80632.329,85205.496,102394.017,108162.69,114839.259,121081.094,127640.058,134412.121
Israel,6096.707,6413.923,6752.808,7374.492,6892.403,6294.15,7629.984,8966.967,10925.93,10928.613,12502.88,13354.935,14407.213,14107.137,15698.653,18154.264,19391.933,19705.404,19439.247,19152.867,21071.762,20324.926,18449.182,18998.835,19919.021,20594.662,21859.442,24966.228,29659.792,27793.383,30791.278,33787.427,32681.199,36515.115,37864.407,35822.856,37341.6,40790.933,42079.335,43965.661,44181.168,49840.25,52504.189,54444.867,56247.479,57972.967,59647.129
Italy,8548.182,7739.537,7642.779,7925.739,7830.361,8082.894,11446.007,14366.803,15913.065,16538.736,20624.437,21766.811,23085.989,18548.316,19124.216,20675.32,23094.404,21858.43,22348.031,22029.702,20153.067,20505.907,22386.262,27580.457,31342.811,32031.426,33448.085,37828.364,40818.985,36982.806,35815.615,38276.034,34743.73,35534.99,35836.183,30463.696,31190.794,32648.756,34921.013,33521.343,31604.433,35584.882,38168.69,39831.374,41252.803,42688.755,44059.793
Jamaica,1214.379,1310.503,1479.509,1289.23,948,878.359,1034.771,1158.596,1372.734,1588.557,1971.695,1799.773,1804.411,2249.32,2234.803,2660.153,2975.134,3347.367,3467.544,3473.435,3510.575,3529.711,3709.572,3586.441,3855.674,4241.399,4494.63,4829.296,5134.246,4507.186,4894.369,5332.52,5448.456,5238.147,5105.511,5204.825,5183.462,5413.03,5729.757,5781.785,5102.762,5421.642,5697.354,5931.285,6178.469,6431.851,6681.143
Japan,9659,10574.371,9772.809,10636.463,11205.352,11815.804,17466.671,21177.787,25575.098,25336.199,25895.956,29511.775,32069.069,36425.222,39953.195,44210.242,39164.322,35651.27,32436.923,36622.885,39172.963,34410.68,32832.296,35410.222,38307.096,37819.1,36021.9,35847.226,39992.06,41469.773,45135.796,48760.905,49175.054,40934.756,38522.771,35005.656,39411.424,38903.298,39818.795,40689.791,40088.603,40704.304,43118.834,46138.055,48159.221,50047.522,51797.333
Jordan,1697.141,1838.681,1886.925,1902.7,1843.989,1780.842,2193.068,2225.634,2005.008,1291.648,1204.987,1193.759,1395.287,1361.59,1453.792,1499.556,1514.849,1546.363,1655.728,1675.702,1709.662,1782.108,1868.862,1948.189,2125.809,2271.857,2616.511,2849.051,3489.786,3597.34,3777.824,3897.607,3963.585,4100.939,4188.717,4218.828,4224.802,4273.905,4341.042,4425.687,4286.485,4393.642,4564.91,4792.505,5043.132,5306.865,5584.391
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,168.645,304.849,751.98,1061.475,1358.804,1459.416,1480.091,1132.126,1230.49,1491.652,1657.157,2062.291,2862.5,3753.439,5261.026,6733.448,8349.288,7116.372,9005.041,11552.573,12300.185,13789.174,12713.563,10435.169,7662.006,9186.712,9749.07,9750.431,9071.302,10144.682,10510.363,11104.657,11656.707,12103.152,12647.701
Kenya,1305.247,1185.18,1101.075,983.361,986.51,950.251,1093.491,1156.785,1158.818,1111.265,1124.819,1029.415,983.514,663.428,771.897,951.64,1047.966,1034.12,1096.62,972.176,897.619,870.082,898.186,953.835,941.165,1056.471,1203.39,1412.69,1314.844,1123.285,1176.309,1178.584,1396.213,1490.414,1613.092,1625.155,1688.865,1805.384,1983.372,2110.46,2103.548,2198.593,2290.498,2394.729,2510.401,2637.894,2771.252
Kiribati,720.463,739.991,656.088,630.233,675.191,500.804,479.561,530.358,652.243,630.112,594.756,645.746,646.914,623.58,716.416,721.087,847.061,839.086,805.03,832.622,802.478,732.872,824.831,1016.381,1128.371,1212.132,1166.435,1376.275,1456.908,1332.071,1518.57,1741.139,1798.255,1731.38,1655.862,1556.496,1598.885,1656.628,1748.647,1695.298,1673.412,1927.077,2001.239,2073.458,2128.707,2169.591,2201.483
"Korea, Republic of",1714.62,1883.456,1992.29,2198.939,2413.291,2482.4,2834.888,3554.62,4748.676,5817.065,6609.985,7637.199,8126.451,8886.386,10381.18,12565.033,13402.925,12416.754,8271.412,10666.862,12263.471,11563.04,13159.675,14672.418,16482.75,19398.494,21730.952,24083.338,21387.709,19139.732,23077.161,25100.188,25459.168,27179.519,29252.933,28737.439,29274.232,31600.737,33433.172,31936.795,31638.455,35195.522,36791.512,38790.768,40759.459,42719.393,44610.646
Kosovo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1506.279,1704.498,1807.419,2205.806,2274.957,2318.585,2400.435,2865.991,3320.602,3244.921,3290.463,3763.906,3582.128,3885.717,4098.927,3637.466,3766.213,4027.29,4425.862,4462.718,4348.292,4986.263,5406.535,5815.641,6220.296,6622.236,7017.831
Kuwait,20966.177,17631.854,14417.541,12973.988,13410.421,12670.687,9653.473,10956.483,9640.407,11359.505,8588.145,7960.513,13989.932,16213.488,13549.775,13871.989,15068.13,13740.681,11424.919,13358.134,17012.776,15108.112,15759.074,18786.749,21585.563,27014.773,31907.199,33732.522,42827.126,30414.739,32216.413,41657.444,45726.188,44754.341,40278.045,27398.083,25267.146,27193.897,29903.564,28513.431,22683.638,27927.163,28821.611,28794.89,28992.741,29413.943,30151.307
Kyrgyz Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,207.976,148.155,245.851,329.934,396.495,379.056,344.404,258.467,280.635,309.913,323.343,382.888,436.496,478.77,546.621,725.487,971.678,876.933,884.846,1131.471,1189.517,1295.225,1292.621,1132.843,1131.841,1254.51,1321.954,1388.647,1188.817,1224.745,1313.856,1387.088,1440.643,1497.555,1552.214
Lao P.D.R.,596.196,341.873,334.404,596.412,831.39,1017.414,691.926,473.879,300.081,360.325,414.261,474.15,528.183,578.467,654.369,741.537,753.99,696.054,259.296,270.226,323.04,324.75,335.686,405.111,467.759,530.059,669.723,800.103,983.762,1045.888,1200.869,1412.035,1581.898,1830.51,1997.984,2130.629,2323.281,2452.861,2567.549,2618.182,2586.78,2625.61,2757.814,2878.078,3036.723,3214.821,3398.167
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,632.625,1021.782,1724.206,2162.492,2417.08,2667.908,2958.619,3137.091,3339.151,3549,4115.578,5111.94,6327.977,7550.177,9666.812,14057.158,16390.267,12199.672,11276.112,13809.193,13862.392,15041.849,15678.081,13722.081,14253.044,15613.438,17799.831,17739.474,17549.303,19538.902,21489.13,23135.097,24723.873,26383.311,28009.855
Lebanon,1552.33,1480.691,1005.258,1376.819,1617.734,1344.135,1044.329,1219.351,1217.425,983.323,998.852,1502.885,1778.315,2289.629,2640.177,3108.246,3550.639,4245.057,4617.163,4580.864,4427.215,4348.533,4502.677,4438.894,4629.213,4575.074,4626.82,5207.76,6111.36,7354.971,7761.616,7675.291,7952.12,7933.253,7687.746,7663.878,7653.694,7819.591,8058.463,7639.101,2784.822,no data,no data,no data,no data,no data,no data
Lesotho,340.852,337.16,273.569,293.235,267.36,208.686,233.93,291.915,322.488,325.872,382.327,427.81,477.277,465.397,480.692,514.122,490.549,516.861,475.868,466.514,453.282,374.971,410.133,592.302,738.561,791.265,809.56,930.798,868.532,1011.42,1222.197,1324.607,1261.443,1191.994,1250.627,1106.83,1105.765,1166.068,1140.515,1087.591,969.708,1187.512,1227.367,1271.597,1314.764,1343.726,1394.548
Liberia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,325.463,328.515,334.824,248.982,307.15,314.889,357.241,415.958,497.445,503.596,541.579,625.257,695.516,772.241,765.368,747.177,767.373,763.108,731.317,672.882,647.1,703.406,743.004,750.723,788.837,829.805,872.572
Libya,13031.83,10762.563,10247.108,9371.005,8411.48,8319.667,6524.775,5815.611,5795.806,5881.526,7193.535,7776.953,7703.526,6780.858,6192.591,6882.208,7372.447,7424.949,5980.039,7067.876,7388.136,6485.16,3833.574,4831.424,5988.392,8467.716,9659.637,11711.138,12570.871,8524.772,11417.422,5402.251,12693.637,8282.151,3876.411,2723.365,2907.457,4685.07,6361.578,6004.471,2891.462,4068.611,4308.91,4381.962,4320.649,4445.383,4591.32
Lithuania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1845.103,2327.496,2830.268,3166.72,3113.271,3293.307,3525.849,4140.734,5499.475,6699.372,7860.178,9236.616,12305.917,15017.555,11848.202,12009.033,14393.268,14376.001,15734.38,16577.328,14265.41,15004.186,16879.45,19184.843,19557.385,19981.336,22411.646,24209.399,25977.969,27685.601,29342.909,30897.272
Luxembourg,17738.608,15251.874,12514.722,12284.434,12033.023,12444.197,18023.017,22239.616,24976.673,26333.586,33201.394,35490.269,39219.909,39643.662,43483.047,50911.338,49921.106,44382.362,45822.189,49541.93,49183.426,48498.772,53399.453,66061.086,76343.548,81048.07,90499.474,107014.124,115898.758,104393.459,106177.041,117366.282,108050.474,114996.722,120449.741,102624.733,105364.028,108621.942,117859.718,115838.953,116921.11,131301.599,137947.805,144013.307,149736.395,155059.54,160140.738
Macao SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15723.751,16733.977,18461.835,23005.586,25109.973,28970.428,34268.703,38286.226,39822.349,51135.159,66111.715,74209.139,84833.692,86298.091,69666.751,69910.52,77257.325,82862.878,81156.614,35621.456,42106.564,59113.563,75353.68,87687.886,92654.97,97329.237
Madagascar,594.73,529.787,518.939,495.274,402.08,380.975,423.6,304.151,293.209,283.399,338.948,272.525,301.997,320.564,269.561,284.823,354.742,297.115,297.254,279.921,293.607,334.442,319.216,368.797,284.488,319.537,338.751,438.655,536.352,467.54,471.959,531.266,518.155,541.069,530.863,467.235,476.226,515.935,518.489,512.176,461.8,498.682,531.409,565.085,592.477,631.723,666.988
Malawi,460.392,447.79,416.18,419.657,400.328,358.713,354.471,327.758,354.718,384.328,420.593,523.591,422.469,483.263,278.145,319.894,512.064,583.417,373.078,368.272,352.65,338.478,384.137,345.163,365.696,377.042,400.898,432.115,504.65,571.113,623.414,695.331,506.3,446.999,484.322,497.737,415.016,466.559,501.113,543.685,567.59,565.798,543.551,520.633,508.561,505.322,508.469
Malaysia,1926.963,1920.127,2006.482,2189.553,2419.501,2154.458,1864.031,2070.009,2213.866,2380.512,2585.824,2885.306,3378.721,3716.952,4027.509,4678.024,5175.556,5011.56,3519.766,3762.769,4347.73,4189.053,4441.824,4740.324,5244.873,5678.353,6351.178,7480.936,8759.517,7544.11,9046.985,10397.92,10806.84,10851.664,11165.259,9663.111,9523.295,9965.123,11079.785,11231.411,10231.341,11124.67,12295.732,13396.635,14300.466,15251.521,16260.217
Maldives,412.508,464.914,534.906,560.243,646.388,737.78,835.636,769.824,897.934,987.814,1091.55,1184.664,1343.012,1479.446,1591.14,1903.127,2107.605,2553.949,2658.803,2842.658,2967.253,2780.451,2952.215,3690.792,4238.041,3960.43,5268.793,6128.48,7337.951,7450.805,8086.697,8078.305,8719.582,9766.235,10787.471,11781.029,12348.712,13201.445,14476.589,15148.804,9888.651,11899.087,13550.911,15223.424,16169.688,17104.019,18081.878
Mali,286.454,234.094,202.848,191.946,187.734,185.325,252.941,290.159,287.28,345.974,388.428,388.675,390.518,379.876,283.343,357.517,356.398,326.082,329.648,332.428,278.381,316.848,346.478,405.693,454.971,505.371,540.589,617.829,720.606,724.186,733.666,863.348,802.465,828.742,873.507,773.946,804.082,854.975,922.549,905.821,889.788,966.141,1019.316,1075.556,1132.074,1178.106,1237.182
Malta,3811.847,3691.859,3467.399,3262.692,3114.332,3126.09,3953.405,4898.042,5522.986,5728.285,6811.662,7215.068,7945.163,7009.556,7684.416,8978.862,9107.638,9147.98,9621.951,9983.877,10482,10447.791,11346.456,13730.313,15260.887,15930.142,16818.012,19696.182,22378.184,21223.678,21842.065,23222.385,22674.787,24972.679,27080.097,25228.175,25960.312,29340.934,32237.262,31865.843,28955.293,31996.534,34554.04,37121.434,39791.206,42350.42,44765.016
Marshall Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2257.329,2276.743,2269.421,2237.183,2416.081,2651.491,2619.045,2625.82,2668.167,2749.066,2864.642,2894.225,2864.633,3030.394,3239.108,3383.558,3451.206,3388.375,3406.479,3720.619,3898.576,4061.676,4292.884,4412.992,4338.173,4525.644,4694.009,4844.888,4990.811,5131.029
Mauritania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,898.741,1002.023,1026.904,852.513,872.712,912.587,904.326,854.319,812.206,773.412,673.361,641.849,634.588,711.709,796.923,963.498,1357.425,1425.466,1647.288,1475.591,1715.923,2012.828,1946.079,2072.492,1826.78,1668.065,1690.813,1758.55,1851.725,1943.797,1955.501,2161.279,2154.149,2212.374,2255.124,2277.218,2336.882
Mauritius,1268.107,1186.583,1124.4,1179.733,1080.41,1085.141,1454.116,1827.431,2104.548,2146.046,2555.86,2781.631,3091.412,3148.796,3446.307,3902.222,3993.479,3703.632,3701.865,3859.149,4102.593,4026.943,4196.429,5005.417,5626.004,5516.198,5695.975,6574.664,8030.052,7318.126,8000.376,9197.043,9291.236,9637.016,10151.727,9258.563,9681.416,10485.014,11205.901,11088.782,8618.602,8681.608,9437.502,10308.722,11281.783,12274.919,13291.622
Mexico,3383.685,4238.762,3002.229,2390.4,2755.013,2859.223,1937.362,2080.398,2493.816,2979.921,3450.198,4059.987,4624.006,5636.355,5841.023,3920.738,4405.105,5283.079,5477.928,6157.249,7166.141,7558.975,7607.443,7088.462,7501.914,8303.985,9102.514,9680.432,10053.737,8029.296,9299.455,10232.411,10271.406,10758.984,10967.113,9657.118,8788.588,9342.92,9753.667,10028.874,8403.602,9967.388,10541.438,11024.772,11479.676,11933.767,12395.961
