 ,ISO3 Alpha-code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Latvia,LVA,13.9,13.98,14.06,14.14,14.22,14.3,14.2,14.2,14.1,14,14.1,13.6,12.9,12.2,12.1,11.2,10.4,9.8,9.4,9,8.8,8.3,7.9,8,7.9,7.9,7.9,7.8,7.8,6.7,5.7,5.9,5.9,5.8,5.7,5.7,5.7,5.6,5.5,5.5,5.5,5.5,5.5
Lebanon,LBN,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,2.4,3.1,3.02,2.94,2.86,2.78,2.7,2.833333333,2.966666667,3.1,3,3,3,3,3.6,3.6,3.4,3.4,3.5,3.5,3.5,3.5,2.9,2.9,3.4,2.7,2.7,2.7,2.7,2.7,2.7,2.7
Lesotho,LSO,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.207692308,1.115384615,1.023076923,0.930769231,0.838461538,0.746153846,0.653846154,0.561538462,0.469230769,0.376923077,0.284615385,0.192307692,0.1,0.1,0.1,0.1
Liberia,LBR,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Libya,LBY,4.8,4.8,4.733333333,4.666666667,4.6,4.533333333,4.466666667,4.4,4.333333333,4.266666667,4.2,4.214285714,4.228571429,4.242857143,4.257142857,4.271428571,4.285714286,4.3,4.233333333,4.166666667,4.1,3.9,3.9,3.9,3.9,3.4,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.2,3.2,3.2,3.2,3.2,3.2
Liechtenstein,LIE,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7
Lithuania,LTU,12.1,12.24,12.38,12.52,12.66,12.8,12.8,12.8,12.8,12.6,12.5,12.5,12,11.9,11.3,11.1,10.9,10.2,10,9.9,8.8,8.3,8.1,7.9,7.6,7.3,7.2,7.2,7.2,7.2,7.2,7.4,7.5,7.3,7.3,7,6.7,6.6,6.4,6.4,6.4,6.4,6.4
Luxembourg,LUX,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8,7.9,7.8,7.6,7.5,7.3,7.4,7.2,7.1,7,6.9,6.8,6.3,6.2,6.1,6,6,6.4,5.8,5.7,5.7,5.6,5.5,5.4,5.3,5.2,5.2,5.1,4.9,4.8,4.7,4.5,4.3,4.3,4.3,4.3
"Macao SAR, China",MAC,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
Madagascar,MDG,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.858333333,0.816666667,0.775,0.733333333,0.691666667,0.65,0.608333333,0.566666667,0.525,0.483333333,0.441666667,0.4,0.366666667,0.333333333,0.3,0.28,0.26,0.24,0.22,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Malawi,MWI,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.6,1.5625,1.525,1.4875,1.45,1.4125,1.375,1.3375,1.3,1.277777778,1.255555556,1.233333333,1.211111111,1.188888889,1.166666667,1.144444444,1.122222222,1.1,1.15,1.2,1.25,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
Malaysia,MYS,2.3,2.3,2.375,2.45,2.525,2.6,2.55,2.5,2.4,2.3,2.1,2.1,2.1,2,2,2,2,1.96,1.92,1.88,1.84,1.8,1.8,1.8,1.8,1.8,1.9,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.6,1.9,1.9,1.9,1.9,1.9,1.9
Maldives,MDV,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.89,0.98,1.07,1.16,1.25,1.34,1.43,1.52,1.61,1.7,2,2.3,2.3,2.45,2.6,3.025,3.45,3.875,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3
Mali,MLI,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.214285714,0.228571429,0.242857143,0.257142857,0.271428571,0.285714286,0.3,0.4,0.5,0.6,0.35,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Malta,MLT,9.5,9.5,9.5,9.5,9.5,9.433333333,9.366666667,9.3,9.3,9.4,8.5,7.6,6.7,5.8,5.6,5.4,5.8,5.6,5.6,5.6,5.5,7.6,7.5,7.4,7.5,7.5,7.6,7.9,7.4,4.8,4.5,4.4,4.7,4.8,4.6,4.6,4.7,4.5,4.5,4.5,4.5,4.5,4.5
Marshall Islands,MHL,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.277777778,2.255555556,2.233333333,2.211111111,2.188888889,2.166666667,2.144444444,2.122222222,2.1,2.16,2.22,2.28,2.34,2.4,2.46,2.52,2.58,2.64,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
Mauritania,MRT,0.8,0.8,0.8,0.8,0.8,0.783333333,0.766666667,0.75,0.733333333,0.716666667,0.7,0.68125,0.6625,0.64375,0.625,0.60625,0.5875,0.56875,0.55,0.53125,0.5125,0.49375,0.475,0.45625,0.4375,0.41875,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Mauritius,MUS,3.1,3.14,3.18,3.22,3.26,3.3,3.233333333,3.166666667,3.1,3.033333333,2.966666667,2.9,3.1,3.1,3.1,3.090909091,3.081818182,3.072727273,3.063636364,3.054545455,3.045454545,3.036363636,3.027272727,3.018181818,3.009090909,3,3.1,3.2,3.3,3.333333333,3.366666667,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
Mexico,MEX,0.7,0.73,0.76,0.79,0.82,0.85,0.88,0.91,0.94,0.97,1,1.1,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1,1.1,1,1,1.1,1,1,1,1,1,1,1,1,1,1,1,1
"Micronesia, Fed. Sts.",FSM,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.436363636,3.372727273,3.309090909,3.245454545,3.181818182,3.118181818,3.054545455,2.990909091,2.927272727,2.863636364,2.8,2.9,3,3.1,3.2,3.3,3.3,3.266666667,3.233333333,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2
Moldova,MDA,12.1,12.1,12.1,12.1,12.1,12.2,12.4,12.7,12.8,12.7,13.1,13.1,12.8,12.5,12.2,12.2,12.1,11.6,11.2,8.2,7.1,6.9,6.8,6.7,6.4,6.4,6.3,6.1,6.1,6.2,6.2,6.2,6.2,5.8,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7
Monaco,MCO,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,19.3,20.5,21.7,21,20.3,19.6,19.40625,19.2125,19.01875,18.825,18.63125,18.4375,18.24375,18.05,17.85625,17.6625,17.46875,17.275,17.08125,16.8875,16.69375,16.5,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8
Mongolia,MNG,11.2,11,11.05,11.1,11.15,11.2,11.25,11.3,11.35,11.4,11.45,11.5,11.13636364,10.77272727,10.40909091,10.04545455,9.681818182,9.318181818,8.954545455,8.590909091,8.227272727,7.863636364,7.5,6.75,6,6.2,6.4,6.1,6,5.9,6,6.8,7,7,7,7,7,8,8,8,8,8,8
Montenegro,MNE,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.3,4.2,4.2,4.2,4.2,4.2,4.1,3.9,3.9,4,4,4,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
Morocco,MAR,1.2,1.2,1.225,1.25,1.275,1.3,1.3,1.3,1.3,1.3,1.3,1.25,1.2,1.15,1.1,1.066666667,1.033333333,1,1.033333333,1.066666667,1.1,0.9,1.1,0.8,0.9,0.9,0.9,0.9,1.1,1.1,1.1,0.9,0.9,0.9,1.1,1.1,1.1,1,1,1,1,1,1
Mozambique,MOZ,1.1,1.08,1.06,1.04,1.02,1,0.98,0.96,0.94,0.92,0.9,0.89375,0.8875,0.88125,0.875,0.86875,0.8625,0.85625,0.85,0.84375,0.8375,0.83125,0.825,0.81875,0.8125,0.80625,0.8,0.8,0.775,0.75,0.725,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Myanmar,MMR,0.9,0.9,0.866666667,0.833333333,0.8,0.766666667,0.733333333,0.7,0.666666667,0.633333333,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.65,0.6,0.6,0.6,0.6,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.925,0.95,0.975,1,1,1,1,1,1,1
Namibia,NAM,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.1,2.9,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
Nauru,NRU,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4.5,5,5,5,5,5,5,5,5,5,5,5,5,5
Nepal,NPL,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.4,2.6,3.8,5,4.216666667,3.433333333,2.65,1.866666667,1.083333333,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Netherlands,NLD,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.7,5.7,5.6,5.4,5.3,5.2,5.2,5.1,5,4.9,4.8,4.7,4.6,4.6,4.5,4.3,4.3,4.3,4.2,4.1,3.8,3.8,3.6,3.55,3.5,3.4,3.3,3.2,3.2,3.2,3.2,3.2
New Caledonia,NCL,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
New Zealand,NZL,10.2,10.06,9.92,9.78,9.64,9.5,9.3,9.1,8.9,8.7,8.5,7.4,7.1,6.5,6.7,6.2,6.1,6.1,6.2,6.2,6.2,6.2,6.2,5.657142857,5.114285714,4.571428571,4.028571429,3.485714286,2.942857143,2.4,2.8,2.8,2.8,2.8,2.8,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.6
Nicaragua,NIC,2.4,2.4,2.4,2.4,2.4,2.4,2.25,2.1,1.95,1.8,1.8,1.8,1.8,1.8,1.7,1.6,1.5,1.414285714,1.328571429,1.242857143,1.157142857,1.071428571,0.985714286,0.9,0.9,0.9,1,0.9,0.9,0.85,0.8,1.1,1,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Niger,NER,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.457142857,0.414285714,0.371428571,0.328571429,0.285714286,0.242857143,0.2,0.1,0.1,0.2,0.1,0.128571429,0.157142857,0.185714286,0.214285714,0.242857143,0.271428571,0.3,0.32,0.34,0.36,0.38,0.4,0.38,0.36,0.34,0.32,0.3,0.35,0.4,0.4,0.4,0.4,0.4,0.4
Nigeria,NGA,0.9,1.5875,2.275,2.9625,3.65,4.3375,5.025,5.7125,6.4,4.05,1.7,1.65,1.6,1.55,1.5,1.45,1.4,1.35,1.3,1.25,1.2,1.025,0.85,0.675,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
North Macedonia,MKD,5.2,5.2,5.4,5.3,5.4,5.5,5.5,5.4,5.5,5.5,5.9,5.8,5.7,5.6,5.6,5.4,5.2,5.2,5.2,5.1,5.1,4.9,4.8,4.8,4.8,4.7,4.6,4.6,4.6,4.5,4.6,4.5,4.4,4.5,4.4,4.4,4.4,4.3,4.3,4.3,4.3,4.3,4.3
Northern Mariana Islands,MNP,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49
Norway,NOR,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.7,5.3,4.8,4.6,4.4,4.3,4.2,4.1,4,4,4,4,3.9,3.8,3.8,5,5,5.3,5.2,5,4.9,4.6,4.5,4.3,4.2,4,3.9,3.8,3.8,3.7,3.6,3.5,3.5,3.5,3.5,3.5
Oman,OMN,1.6,1.6,1.7125,1.825,1.9375,2.05,2.1625,2.275,2.3875,2.5,2.1,2.1125,2.125,2.1375,2.15,2.1625,2.175,2.1875,2.2,2.2,2.2,2.1,2,2,2.2,2.1,2.1,2,2,1.9,1.8,1.8,1.7,1.7,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Pakistan,PAK,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.85,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Palau,PLW,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.5875,4.775,4.9625,5.15,5.3375,5.525,5.7125,5.9,5,4.95,4.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8
Panama,PAN,3.4,3.4,3.4,3.4,3.4,3.4,3.22,3.04,2.86,2.68,2.5,2.566666667,2.633333333,2.7,2.533333333,2.366666667,2.2,2.25,2.3,2.35,2.4,2.45,2.5,2.45,2.4,2.2,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.2,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
Papua New Guinea,PNG,5.5,5.375,5.25,5.125,5,4.7,4.35,4,3.65,3.3,4,3.882758621,3.765517241,3.648275862,3.531034483,3.413793103,3.296551724,3.179310345,3.062068966,2.944827586,2.827586207,2.710344828,2.593103448,2.475862069,2.35862069,2.24137931,2.124137931,2.006896552,1.889655172,1.772413793,1.655172414,1.537931034,1.420689655,1.303448276,1.186206897,1.068965517,0.951724138,0.834482759,0.717241379,0.6,0.6,0.6,0.6
Paraguay,PRY,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,0.9,1.033333333,1.166666667,1.3,0.6,0.95,1.3,1.283333333,1.266666667,1.25,1.233333333,1.216666667,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.4,1.2,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Peru,PER,1.7,1.7,1.7,1.7,1.7,1.7,1.64,1.58,1.52,1.46,1.4,1.45,1.5,1.3,1.4,1.45,1.5,1.485714286,1.471428571,1.457142857,1.442857143,1.428571429,1.414285714,1.4,0.9,1,1.1,1.2,1.5,1.6,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
Philippines,PHL,1.7,1.7,1.7,1.7,1.7,1.8,1.7,1.625,1.55,1.475,1.4,1.3,1.4,1.1,1.0875,1.075,1.0625,1.05,1.0375,1.025,1.0125,1,0.5,0.65,0.8,0.95,1.1,1.1,1,1.1,1.1,1.1,1.1,1,1,1,1,1,1,1,1,1,1
Poland,POL,5.6,5.62,5.64,5.66,5.68,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.6,5.6,5.6,5.5,5.5,5.4,5.3,5.1,4.9,5.25,5.6,6.7,6.7,6.5,6.5,6.4,6.6,6.7,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.5,6.5,6.5,6.5,6.5
Portugal,PRT,4,4,4,4,4,4,4,4,4,4.1,4.1,4.1,4,3.9,3.9,3.9,4,3.9,3.9,3.8,3.7,3.7,3.6,3.6,3.6,3.6,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.3,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.5
Puerto Rico,PRI,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
Qatar,QAT,2.9,2.9,2.825,2.75,2.675,2.6,2.525,2.45,2.375,2.3,2.2125,2.125,2.0375,1.95,1.8625,1.775,1.6875,1.6,1.866666667,2.133333333,2.4,2.4,2.4,2.4,2.4,2.4,2.5,2.5,2.5,1.4,1.2,1.2,1.2,1.4,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3
Romania,ROU,8.8,8.8,8.8,8.85,8.9,8.9,8.9,9,8.9,8.9,8.9,8.9,7.9,7.9,7.7,7.6,7.6,7.4,7.3,7.3,7.7,7.7,7.7,6.8,6.7,6.8,6.7,6.5,6.6,6.6,6.3,6.3,6.6,6.7,6.7,6.8,6.8,6.9,6.9,6.9,6.9,6.9,6.9
Russian Federation,RUS,13,13,13,13,13,13,13,13.1,13.2,13.2,13.1,12.7,12.2,12.2,12,11.9,11.6,11.3,11.1,10.9,11.4,11.3,11.2,11,11.1,11,10.9,10.7,9.9,9.7,9.4,9.4,9.3,9.1,8.8,8.4,8.2,8.1,7.1,7.1,7.1,7.1,7.1
Rwanda,RWA,1.5,1.5,1.425,1.35,1.275,1.2,1.125,1.05,0.975,0.9,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.65,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
Samoa,WSM,4.5,4.4,4.342105263,4.284210526,4.226315789,4.168421053,4.110526316,4.052631579,3.994736842,3.936842105,3.878947368,3.821052632,3.763157895,3.705263158,3.647368421,3.589473684,3.531578947,3.473684211,3.415789474,3.357894737,3.3,2.4,1.5,2,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
